,precision,recall,f1-score,support,scenario
0,0.9987471662092829,0.999761122723201,0.9992538872474408,16745.0,all_features
1,1.0,0.7333333333333333,0.8461538461538461,15.0,all_features
2,1.0,0.9989858012170385,0.9994926433282597,986.0,all_features
3,1.0,0.975,0.9873417721518988,80.0,all_features
4,0.997716894977169,0.9984767707539984,0.9980966882375333,1313.0,all_features
5,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0,all_features
6,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0,all_features
7,1.0,1.0,1.0,52.0,all_features
10,1.0,0.9956458635703919,0.9978181818181818,689.0,all_features
11,1.0,0.75,0.8571428571428571,24.0,all_features
12,0.6666666666666666,0.6,0.631578947368421,10.0,all_features
14,0.2,0.25,0.2222222222222222,4.0,all_features
accuracy,0.99835,0.99835,0.99835,0.99835,all_features
macro avg,0.9010837845474925,0.8502841010340778,0.8720704907552137,20000.0,all_features
weighted avg,0.9983720061316426,0.99835,0.9983211198014412,20000.0,all_features
0,0.9991048517037656,0.9998208420424007,0.9994627186436631,16745.0,no_Flow
1,1.0,0.8666666666666667,0.9285714285714286,15.0,no_Flow
2,1.0,0.9989858012170385,0.9994926433282597,986.0,no_Flow
3,1.0,0.9875,0.9937106918238994,80.0,no_Flow
4,0.997716894977169,0.9984767707539984,0.9980966882375333,1313.0,no_Flow
5,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0,no_Flow
6,1.0,0.9767441860465116,0.9882352941176471,43.0,no_Flow
7,1.0,1.0,1.0,52.0,no_Flow
10,1.0,0.9970972423802612,0.998546511627907,689.0,no_Flow
11,1.0,0.7916666666666666,0.8837209302325582,24.0,no_Flow
12,0.6666666666666666,0.6,0.631578947368421,10.0,no_Flow
14,0.2,0.25,0.2222222222222222,4.0,no_Flow
accuracy,0.9987,0.9987,0.9987,0.9987,no_Flow
macro avg,0.9030977186561597,0.867973010374291,0.883723086434375,20000.0,no_Flow
weighted avg,0.9987226687880886,0.9987,0.9986908256383764,20000.0,no_Flow
0,0.9987471662092829,0.999761122723201,0.9992538872474408,16745.0,no_Packet
1,1.0,0.7333333333333333,0.8461538461538461,15.0,no_Packet
2,1.0,0.9989858012170385,0.9994926433282597,986.0,no_Packet
3,1.0,0.975,0.9873417721518988,80.0,no_Packet
4,0.997716894977169,0.9984767707539984,0.9980966882375333,1313.0,no_Packet
5,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0,no_Packet
6,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0,no_Packet
7,1.0,1.0,1.0,52.0,no_Packet
10,1.0,0.9956458635703919,0.9978181818181818,689.0,no_Packet
11,1.0,0.75,0.8571428571428571,24.0,no_Packet
12,0.6666666666666666,0.6,0.631578947368421,10.0,no_Packet
14,0.2,0.25,0.2222222222222222,4.0,no_Packet
accuracy,0.99835,0.99835,0.99835,0.99835,no_Packet
macro avg,0.9010837845474925,0.8502841010340778,0.8720704907552137,20000.0,no_Packet
weighted avg,0.9983720061316426,0.99835,0.9983211198014412,20000.0,no_Packet
0,0.998747016706444,0.9996416840848015,0.9991941501268468,16745.0,no_Flag
1,1.0,0.7333333333333333,0.8461538461538461,15.0,no_Flag
2,1.0,0.9989858012170385,0.9994926433282597,986.0,no_Flag
3,1.0,0.975,0.9873417721518988,80.0,no_Flag
4,0.9969558599695586,0.9977151561309977,0.9973353635325466,1313.0,no_Flag
5,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0,no_Flag
6,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0,no_Flag
7,1.0,1.0,1.0,52.0,no_Flag
10,1.0,0.9956458635703919,0.9978181818181818,689.0,no_Flag
11,1.0,0.75,0.8571428571428571,24.0,no_Flag
12,0.6666666666666666,0.6,0.631578947368421,10.0,no_Flag
14,0.2,0.25,0.2222222222222222,4.0,no_Flag
accuracy,0.99825,0.99825,0.99825,0.99825,no_Flag
macro avg,0.898985973175594,0.8521486644250852,0.8719785098841285,20000.0,no_Flag
weighted avg,0.9982744252778051,0.99825,0.9982229803092565,20000.0,no_Flag
0,0.998747016706444,0.9996416840848015,0.9991941501268468,16745.0,no_Idle
1,1.0,0.7333333333333333,0.8461538461538461,15.0,no_Idle
2,1.0,0.9989858012170385,0.9994926433282597,986.0,no_Idle
3,0.9871794871794872,0.9625,0.9746835443037974,80.0,no_Idle
4,0.996958174904943,0.9984767707539984,0.997716894977169,1313.0,no_Idle
5,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0,no_Idle
6,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0,no_Idle
7,1.0,1.0,1.0,52.0,no_Idle
10,1.0,0.9956458635703919,0.9978181818181818,689.0,no_Idle
11,1.0,0.7916666666666666,0.8837209302325582,24.0,no_Idle
12,0.6666666666666666,0.6,0.631578947368421,10.0,no_Idle
14,0.2,0.25,0.2222222222222222,4.0,no_Idle
accuracy,0.99825,0.99825,0.99825,0.99825,no_Idle
macro avg,0.8999521693478609,0.8527047033697667,0.8731938503269338,20000.0,no_Idle
weighted avg,0.998270788936367,0.99825,0.9982274322459962,20000.0,no_Idle
