class,baseline,bias_gender_female_bias,bias_gender_male_bias,bias_label_imbalance_class0,bias_label_noise_5pct,bias_region_asia_bias,bias_region_eu_bias,bias_underrepresented_class1,avg_recall
0,0.9995103074313834,,,,,,,,0.9995103074313834
1,0.0,,,,,,,,0.0
2,0.9987834549878344,,,,,,,,0.9987834549878344
3,0.899749373433584,,,,,,,,0.899749373433584
4,0.985679463741621,,,,,,,,0.985679463741621
5,0.9025641025641026,,,,,,,,0.9025641025641026
6,0.9209302325581395,,,,,,,,0.9209302325581395
7,1.0,,,,,,,,1.0
8,0.0,,,,,,,,0.0
9,0.9976771196283392,,,,,,,,0.9976771196283392
10,0.9152542372881356,,,,,,,,0.9152542372881356
11,0.0,,,,,,,,0.0
12,0.0952380952380952,,,,,,,,0.0952380952380952
13,0.99622,,,,,,,,0.99622
14,0.6704143374516334,,,,,,,,0.6704143374516334
15,0.99622,,,,,,,,0.99622
0,,0.9989650505532999,0.9990470139771284,0.9989265693953008,0.9958255476483918,0.9987303602602762,0.9988872993164839,0.9992048662187413,0.9985123867670888
1,,0.25,0.45454545454545453,0.4782608695652174,0.43478260869565216,0.25,0.42857142857142855,0.2608695652173913,0.365289989513592
10,,0.9565217391304348,0.8823529411764706,0.9,0.925,0.8333333333333334,0.9090909090909091,0.95,0.9080427032473067
11,,0.4,0.8333333333333334,0.8181818181818182,0.6363636363636364,0.75,0.0,0.6363636363636364,0.582034632034632
12,,0.0,0.0,0.14285714285714285,0.0,0.0,,0.14285714285714285,0.047619047619047616
2,,0.9973297730307076,0.9985855728429985,0.9979395604395604,0.9965659340659341,0.996996996996997,1.0,0.9979395604395604,0.9979081996879654
3,,0.9482758620689655,0.9824561403508771,0.9652173913043478,0.9391304347826087,0.90625,1.0,0.9565217391304348,0.9568359382338905
4,,0.9884937238493724,0.9887755102040816,0.9922520661157025,0.9891528925619835,0.9837067209775967,0.9897750511247444,0.9896694214876033,0.9888321980458692
5,,0.90625,1.0,0.9692307692307692,0.9692307692307692,0.9333333333333333,1.0,0.9538461538461539,0.9616987179487181
6,,0.9705882352941176,0.9166666666666666,0.9714285714285714,0.9285714285714286,0.9411764705882353,0.8947368421052632,0.9571428571428572,0.9400444388281629
7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,,0.0,,0.0,0.0,,,0.0,0.0
9,,0.9865642994241842,0.9922928709055877,0.9932692307692308,0.9461538461538461,0.9963768115942029,0.9958847736625515,0.9903846153846154,0.9858466354134598
macro avg,,0.7233068217962372,0.8373379586668833,0.7867356914836663,0.7508290075441733,0.7991586689236646,0.8379042094428527,0.7565230429298566,0.7845422001124762
weighted avg,,0.9960666666666667,0.9971333333333333,0.9971666666666666,0.9923666666666666,0.996,0.9970666666666667,0.9968666666666667,0.9960952380952381
overall_avg,0.7111400452701793,0.7414908114542658,0.8487519140002011,0.800764423162533,0.7669315181523395,0.8132187640005457,0.8501474753831461,0.7725459511789773,0.7384368725764617
